"Incident Date",State,"City or County",Address,"# Killed","# Injured",URL,Source,"Incident Characteristics"
"April 12, 2015","South Carolina",Mauldin,"801 West Butler Road",0,1,http://www.gunviolencearchive.org/incident/321958,http://www.greenvilleonline.com/story/news/crime/2015/04/12/mauldin-police-charge-man-attempted-murder/25674115/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Officer Involved Shooting - Perpetrator surrender at standoff, Bar/club shooting - in or around establishment"
"April 12, 2015",Indiana,Indianapolis,"3800 block of East 31st Street",1,1,http://www.gunviolencearchive.org/incident/321927,http://fox59.com/2015/04/12/officer-involved-shooting-on-east-side-of-indianapolis/,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Officer shot, Officer Involved Shooting - Perpetrator killed, Possession (gun(s) found during commission of other crimes)"
"April 12, 2015",California,"Los Angeles","500 block of East Moorehaven Drive",0,0,http://www.gunviolencearchive.org/incident/321883,http://www.nbclosangeles.com/news/local/Armed-Suspect-Barricaded-in-Carson-Moorehaven-299491971.html,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired"
"April 11, 2015",Pennsylvania,"Mount Joy","Angle and West Main Streets",0,0,http://www.gunviolencearchive.org/incident/321683,http://www.pennlive.com/midstate/index.ssf/2015/04/swat_surrounds_house_in_dover.html#incart_river,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury"
"April 11, 2015",California,"San Jacinto","1200 block of De Anza",0,0,http://www.gunviolencearchive.org/incident/321881,http://www.kesq.com/news/Suspect-sought-for-firing-at-San-Jacinto-police/32328270,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Brandishing/flourishing/open carry/lost/found"
"April 11, 2015",California,"Rancho Cordova","9900 block of Zion Way",0,1,http://www.gunviolencearchive.org/incident/321459,http://www.sacbee.com/news/local/crime/article18271115.html,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot"
"April 11, 2015",Oklahoma,"Sand Springs","51st and 129 W Ave",1,0,http://www.gunviolencearchive.org/incident/321775,http://www.ktul.com/story/28777792/fatal-officer-involved-shooting-in-sand-springs,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed"
"April 11, 2015",Oregon,Salem,"5800 block of Silverton Road NE",0,0,http://www.gunviolencearchive.org/incident/321704,https://www.flashalert.net/news.html?id=1294,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Shots fired, no action (reported, no evidence found)"
"April 10, 2015",Kansas,Topeka,"Auburn Road",0,1,http://www.gunviolencearchive.org/incident/321735,http://www.wibw.com/home/headlines/Wanamaker-Drive-Shut-Down-At-I-70-Overpass-299428681.html,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Car-jacking"
"April 10, 2015",Louisiana,Chalmette,"3700 block of Gallo Dr.",0,1,http://www.gunviolencearchive.org/incident/321179,http://www.wwltv.com/story/news/crime/2015/04/10/sheriff-wounded/25580457/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Brandishing/flourishing/open carry/lost/found, Gun(s) stolen from owner"
"April 10, 2015",Wisconsin,Milwaukee,"1827 North Farwell Avenue",0,0,http://www.gunviolencearchive.org/incident/321374,http://wbay.com/2015/04/10/milwaukee-officer-pinned-by-stolen-car-partner-fires-gun/,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury"
"April 10, 2015",Hawaii,Puna,"Mokuna Street",0,0,http://www.gunviolencearchive.org/incident/321364,http://khon2.com/2015/04/10/big-island-police-investigate-officer-involved-shooting-in-puna/,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury"
"April 10, 2015","South Carolina",Charleston,"9330 Medical Plaza Center",0,0,http://www.gunviolencearchive.org/incident/321142,http://www.abcnews4.com/story/28772620/trident-placed-on-lockdown-reported-gunman-in-custody,"Suicide - Attempt, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Officer Involved Shooting - Perpetrator surrender at standoff, Brandishing/flourishing/open carry/lost/found"
"April 10, 2015",Ohio,Cleveland,"116th and Carolina",0,0,http://www.gunviolencearchive.org/incident/321343,http://www.cleveland.com/metro/index.ssf/2015/04/man_arrested_after_swat_team_s.html#incart_river,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Officer Involved Shooting - Perpetrator surrender at standoff, Domestic Violence, Under the influence of alcohol or drugs (only applies to the perpetrator), Possession (gun(s) found during commission of other crimes)"
"April 10, 2015",Arizona,Phoenix,"72nd Avenue and Camelback Road",0,1,http://www.gunviolencearchive.org/incident/321476,http://www.azcentral.com/story/news/local/phoenix/2015/04/11/phoenix-swat-shoot-man-after-3-hour-long-standoff/25622821/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot"
"April 10, 2015",California,"North Highlands","Watt Avenue and Elkhorn Boulevard",0,1,http://www.gunviolencearchive.org/incident/321461,http://www.sacbee.com/news/local/crime/article18212240.html,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot"
"April 10, 2015",California,"Los Angeles","4000 block of Cimarron Street",0,0,http://www.gunviolencearchive.org/incident/321457,http://www.presstelegram.com/general-news/20150410/suspect-carjacker-leads-police-on-chase-through-south-bay-and-los-angeles-in-green-taxicab,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Car-jacking"
"April 10, 2015",California,"Los Angeles","8000 block of Juniper Street",0,1,http://www.gunviolencearchive.org/incident/320909,http://losangeles.cbslocal.com/2015/04/10/suspect-shot-by-deputies-in-florence/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot"
"April 10, 2015",Maryland,Annapolis,"703 E. College Parkway",0,1,http://www.gunviolencearchive.org/incident/321172,http://www.wbaltv.com/news/anne-arundel-county-police-officer-shot/32295126,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Officer shot"
"April 9, 2015",Texas,"San Marcos","York Creek Rd.",0,0,http://www.gunviolencearchive.org/incident/320738,http://kxan.com/2015/04/09/shots-fired-after-traffic-stop-near-san-marcos/,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury"
"April 9, 2015",Ohio,"Lucas County","Canton Street and Spielbusch Avenue",0,0,http://www.gunviolencearchive.org/incident/321351,http://www.toledoblade.com/Police-Fire/2015/04/10/Gun-stolen-from-Lucas-County-jail-corrections-officer-s-vehicle.html,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Gun(s) stolen from owner"
"April 9, 2015","South Carolina","Boiling Springs","Belcher Road",1,0,http://www.gunviolencearchive.org/incident/320667,http://www.wspa.com/story/28761702/suspect-shot-killed-by-deputies-in-spartanburg-co,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed, Drug involvement, Brandishing/flourishing/open carry/lost/found"
"April 9, 2015",Pennsylvania,Gettysburg,"Major Bell Lane",1,0,http://www.gunviolencearchive.org/incident/321246,http://www.wgal.com/news/police-respond-to-adams-county-prison-ema-on-lockdown/32279724,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed"
"April 9, 2015",Indiana,"Fort Wayne","5510 Standish Drive",0,0,http://www.gunviolencearchive.org/incident/321637,http://wane.com/2015/04/10/drugs-money-stolen-guns-found-during-raid/,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Drug involvement, ATF/LE Confiscation/Raid/Arrest, Criminal act with stolen gun, Possession (gun(s) found during commission of other crimes), Stolen gun(s) recovered during arrest/warrant"
"April 9, 2015",Alabama,Mobile,"6400 block of Victoria Place",0,1,http://www.gunviolencearchive.org/incident/321127,http://www.al.com/news/mobile/index.ssf/2015/04/mobile_police_officer_under_in.html#incart_river,"Shot - Wounded/Injured, Home Invasion, Home Invasion - Perpetrator injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Defensive Use, Defensive Use - Crime occurs, victim shoots perpetrator, Domestic Violence"
"April 9, 2015","New York",Rochester,"247 Driving Park Avenue",0,1,http://www.gunviolencearchive.org/incident/320484,http://www.democratandchronicle.com/story/news/2015/04/09/portion-driving-park-ave-closed-investigation/25508915/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Officer Involved Shooting - Perpetrator surrender at standoff, Drive-by (car to street, car to car)"
"April 9, 2015","South Carolina",Charleston,"177 Sugar Magnolia Way",1,0,http://www.gunviolencearchive.org/incident/320680,http://www.postandcourier.com/article/20150409/PC16/150409342/1177,"Shot - Dead (murder, accidental, suicide), Suicide, Officer Involved Incident, Officer Involved Shooting - Perpetrator suicide at standoff, Domestic Violence"
"April 9, 2015",Florida,Navarre,"Quail Roost Drive",1,0,http://www.gunviolencearchive.org/incident/320990,http://www.nbcmiami.com/news/local/Samurai-Sword-Wielding-Man-Shot-After-Attacking-Deputy-Authorities-299362431.html,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed"
"April 9, 2015",Florida,"Okaloosa County",,0,0,http://www.gunviolencearchive.org/incident/321431,http://www.weartv.com//news/features/top-stories/stories/man-arrested-threatening-dad-kitchen-knives-shooting-at-deputies-56547.shtml#.VSlQ7PldWLE,"Shots Fired - No Injuries, Non-Shooting Incident, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury"
"April 9, 2015",Maryland,Suitland,"4600 Silver Hill Rd",1,1,http://www.gunviolencearchive.org/incident/320640,http://www.wkyt.com/home/headlines/299267021.html,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Officer killed, Spree Shooting (multiple victims, multiple locations)"
"April 9, 2015",Texas,"San Antonio","Karen Ln. and Corinne Dr.",1,0,http://www.gunviolencearchive.org/incident/320360,http://www.ksat.com/content/pns/ksat/news/2015/04/08/officer-shoot--kills-man-on-east-side.html,"Shot - Dead (murder, accidental, suicide), Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Officer Involved Shooting - Perpetrator killed"
"April 9, 2015",Oklahoma,Kellyville,,1,0,http://www.gunviolencearchive.org/incident/320875,http://www.newson6.com/story/28762112/man-shot-killed-by-law-officers-in-northeastern-oklahoma,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed"
"April 9, 2015",Montana,Butte,"100 block of North Parkmont",0,0,http://www.gunviolencearchive.org/incident/320870,http://mtstandard.com/news/local/man-surrenders-to-swat-team-after-gunshots-fired-early-today/article_030ffee1-f320-54fb-8a48-4fcb9b277a61.html,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Officer Involved Shooting - Perpetrator surrender at standoff"
"April 9, 2015",Louisiana,"New Orleans","1700 Block of Palmer Ave.",0,0,http://www.gunviolencearchive.org/incident/320458,http://www.fox8live.com/story/28758641/woman-surrenders-following-uptown-swat-standoff,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired"
