date,state,city,address,killed,injured,url,source,incident,postalcode,display_address,latitude,longitude
2015-04-12,"South Carolina",Mauldin,"801 West Butler Road",0,1,http://www.gunviolencearchive.org/incident/321958,http://www.greenvilleonline.com/story/news/crime/2015/04/12/mauldin-police-charge-man-attempted-murder/25674115/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Officer Involved Shooting - Perpetrator surrender at standoff, Bar/club shooting - in or around establishment",29607,"801 West Butler Road, Greenville, SC 29607, USA",34.7749886,-82.326031
2015-04-12,Indiana,Indianapolis,"3800 block of East 31st Street",1,1,http://www.gunviolencearchive.org/incident/321927,http://fox59.com/2015/04/12/officer-involved-shooting-on-east-side-of-indianapolis/,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Officer shot, Officer Involved Shooting - Perpetrator killed, Possession (gun(s) found during commission of other crimes)",46218,"3800 East 31st Street, Indianapolis, IN 46218, USA",39.8116167,-86.1025315
2015-04-12,California,"Los Angeles","500 block of East Moorehaven Drive",0,0,http://www.gunviolencearchive.org/incident/321883,http://www.nbclosangeles.com/news/local/Armed-Suspect-Barricaded-in-Carson-Moorehaven-299491971.html,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired",91384,"Drive, Castaic, CA 91384, USA",34.4664622,-118.6036103
2015-04-11,Pennsylvania,"Mount Joy","Angle and West Main Streets",0,0,http://www.gunviolencearchive.org/incident/321683,http://www.pennlive.com/midstate/index.ssf/2015/04/swat_surrounds_house_in_dover.html#incart_river,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury",17552,"West Main Street & South Angle Street, Mount Joy, PA 17552, USA",40.1140397,-76.5207333
2015-04-11,California,"San Jacinto","1200 block of De Anza",0,0,http://www.gunviolencearchive.org/incident/321881,http://www.kesq.com/news/Suspect-sought-for-firing-at-San-Jacinto-police/32328270,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Brandishing/flourishing/open carry/lost/found",92582,"1200 De Anza Drive, San Jacinto, CA 92582, USA",33.7962655,-116.9800562
2015-04-11,California,"Rancho Cordova","9900 block of Zion Way",0,1,http://www.gunviolencearchive.org/incident/321459,http://www.sacbee.com/news/local/crime/article18271115.html,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot",95827,"9900 Zion Way, Sacramento, CA 95827, USA",38.5630949,-121.32247
2015-04-11,Oklahoma,"Sand Springs","51st and 129 W Ave",1,0,http://www.gunviolencearchive.org/incident/321775,http://www.ktul.com/story/28777792/fatal-officer-involved-shooting-in-sand-springs,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed",74063,"West 51st Street & South 129th West Avenue, Sand Springs, OK 74063, USA",36.0901995,-96.1369281
2015-04-11,Oregon,Salem,"5800 block of Silverton Road NE",0,0,http://www.gunviolencearchive.org/incident/321704,https://www.flashalert.net/news.html?id=1294,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury, Shots fired, no action (reported, no evidence found)",97305,"5800 Silverton Road Northeast, Salem, OR 97305, USA",44.9812108,-122.9400586
2015-04-10,Kansas,Topeka,"Auburn Road",0,1,http://www.gunviolencearchive.org/incident/321735,http://www.wibw.com/home/headlines/Wanamaker-Drive-Shut-Down-At-I-70-Overpass-299428681.html,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Car-jacking",,"Auburn Road, Topeka, KS, USA",38.9881806,-95.8169049
2015-04-10,Louisiana,Chalmette,"3700 block of Gallo Dr.",0,1,http://www.gunviolencearchive.org/incident/321179,http://www.wwltv.com/story/news/crime/2015/04/10/sheriff-wounded/25580457/,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Brandishing/flourishing/open carry/lost/found, Gun(s) stolen from owner",70043,"3700 Gallo Drive, Chalmette, LA 70043, USA",29.9493534,-89.9430021
